POS Txn,Dept,ID,Sales U
16120100160035000000,MENS ACCESSORIES,41,1
16120100160035000000,MENS ACCESSORIES,41,2
16120100160035000000,MENS ACCESSORIES,41,2
16120100160035000000,MENS ACCESSORIES,41,1
16120100160036000000,MENS ACCESSORIES,41,1
16120100160037000000,MENS ACCESSORIES,41,1
16120100160037000000,MENS ACCESSORIES,41,1
16120100160038000000,MENS ACCESSORIES,41,1
16120100160077000000,MENS ACCESSORIES,41,1
16120100160023000000,MENS FURNISHINGS,42,3
16120100160023000000,MENS FURNISHINGS,42,1
16120100160023000000,MENS FURNISHINGS,42,3
16120100160024000000,MENS FURNISHINGS,42,1
16120100160024000000,MENS FURNISHINGS,42,7
16120100160024000000,MENS FURNISHINGS,42,2
16120100160024000000,MENS FURNISHINGS,42,2
16120100160031000000,MENS FURNISHINGS,42,1
16120100160031000000,MENS FURNISHINGS,42,1
16120100160031000000,MENS FURNISHINGS,42,1
16120100160031000000,MENS FURNISHINGS,42,2
16120100160032000000,MENS FURNISHINGS,42,1
16120100160032000000,MENS FURNISHINGS,42,2
16120100160032000000,MENS FURNISHINGS,42,1
16120100160033000000,MENS FURNISHINGS,42,2
16120100160033000000,MENS FURNISHINGS,42,4
16120100160034000000,MENS FURNISHINGS,42,3
16120100160034000000,MENS FURNISHINGS,42,1
16120100160035000000,MENS FURNISHINGS,42,1
16120100160035000000,MENS FURNISHINGS,42,1
16120100160035000000,MENS FURNISHINGS,42,1
16120100160035000000,MENS FURNISHINGS,42,2
16120100160035000000,MENS FURNISHINGS,42,3
16120100160035000000,MENS FURNISHINGS,42,1
16120100160036000000,MENS FURNISHINGS,42,1
16120100160036000000,MENS FURNISHINGS,42,1
16120100160036000000,MENS FURNISHINGS,42,1
16120100160036000000,MENS FURNISHINGS,42,1
16120100160036000000,MENS FURNISHINGS,42,1
16120100160036000000,MENS FURNISHINGS,42,1
16120100160036000000,MENS FURNISHINGS,42,1
16120100160036000000,MENS FURNISHINGS,42,1
16120100160036000000,MENS FURNISHINGS,42,2
16120100160036000000,MENS FURNISHINGS,42,1
16120100160036000000,MENS FURNISHINGS,42,1
16120100160037000000,MENS FURNISHINGS,42,3
16120100160037000000,MENS FURNISHINGS,42,7
16120100160037000000,MENS FURNISHINGS,42,1
16120100160037000000,MENS FURNISHINGS,42,1
16120100160037000000,MENS FURNISHINGS,42,6
16120100160037000000,MENS FURNISHINGS,42,1
16120100160037000000,MENS FURNISHINGS,42,1
16120100160037000000,MENS FURNISHINGS,42,1
16120100160037000000,MENS FURNISHINGS,42,2
16120100160038000000,MENS FURNISHINGS,42,5
16120100160038000000,MENS FURNISHINGS,42,7
16120100160038000000,MENS FURNISHINGS,42,1
16120100160078000000,MENS FURNISHINGS,42,-3
16120100160079000000,MENS FURNISHINGS,42,-3
16120100160079000000,MENS FURNISHINGS,42,-2
16120100160101000000,MENS FURNISHINGS,42,1
16120100160031000000,TRAD COLLECTIONS,44,2
16120100160033000000,TRAD COLLECTIONS,44,1
16120100160033000000,TRAD COLLECTIONS,44,2
16120100160033000000,TRAD COLLECTIONS,44,2
16120100160035000000,TRAD COLLECTIONS,44,1
16120100160036000000,TRAD COLLECTIONS,44,1
16120100160036000000,TRAD COLLECTIONS,44,1
16120100160037000000,TRAD COLLECTIONS,44,1
16120100160037000000,TRAD COLLECTIONS,44,1
16120100160037000000,TRAD COLLECTIONS,44,1
16120100160037000000,TRAD COLLECTIONS,44,4
16120100160038000000,TRAD COLLECTIONS,44,4
16120100160078000000,TRAD COLLECTIONS,44,-2
16120100160079000000,TRAD COLLECTIONS,44,-1
16120100160094000000,TRAD COLLECTIONS,44,2
16120100160097000000,TRAD COLLECTIONS,44,1
16120100160023000000,YOUNG MENS,45,1
16120100160024000000,YOUNG MENS,45,1
16120100160024000000,YOUNG MENS,45,1
16120100160032000000,YOUNG MENS,45,2
16120100160033000000,YOUNG MENS,45,1
16120100160033000000,YOUNG MENS,45,2
16120100160034000000,YOUNG MENS,45,1
16120100160035000000,YOUNG MENS,45,1
16120100160035000000,YOUNG MENS,45,1
16120100160035000000,YOUNG MENS,45,1
16120100160035000000,YOUNG MENS,45,1
16120100160035000000,YOUNG MENS,45,1
16120100160036000000,YOUNG MENS,45,1
16120100160036000000,YOUNG MENS,45,1
16120100160037000000,YOUNG MENS,45,1
16120100160037000000,YOUNG MENS,45,1
16120100160037000000,YOUNG MENS,45,4
16120100160037000000,YOUNG MENS,45,1
16120100160079000000,YOUNG MENS,45,1
16120100160079000000,YOUNG MENS,45,1
16120100160098000000,YOUNG MENS,45,2
16120100160022000000,MENS ACTIVEWEAR,46,1
16120100160023000000,MENS ACTIVEWEAR,46,1
16120100160023000000,MENS ACTIVEWEAR,46,1
16120100160023000000,MENS ACTIVEWEAR,46,1
16120100160024000000,MENS ACTIVEWEAR,46,1
16120100160024000000,MENS ACTIVEWEAR,46,1
16120100160031000000,MENS ACTIVEWEAR,46,1
16120100160033000000,MENS ACTIVEWEAR,46,1
16120100160033000000,MENS ACTIVEWEAR,46,3
16120100160033000000,MENS ACTIVEWEAR,46,2
16120100160034000000,MENS ACTIVEWEAR,46,1
16120100160034000000,MENS ACTIVEWEAR,46,1
16120100160034000000,MENS ACTIVEWEAR,46,1
16120100160034000000,MENS ACTIVEWEAR,46,1
16120100160034000000,MENS ACTIVEWEAR,46,1
16120100160035000000,MENS ACTIVEWEAR,46,2
16120100160035000000,MENS ACTIVEWEAR,46,3
16120100160035000000,MENS ACTIVEWEAR,46,1
16120100160035000000,MENS ACTIVEWEAR,46,-1
16120100160035000000,MENS ACTIVEWEAR,46,1
16120100160035000000,MENS ACTIVEWEAR,46,2
16120100160035000000,MENS ACTIVEWEAR,46,1
16120100160036000000,MENS ACTIVEWEAR,46,1
16120100160036000000,MENS ACTIVEWEAR,46,2
16120100160036000000,MENS ACTIVEWEAR,46,3
